"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4303229";"";"";"Small molecule";"0";"423.55";"5";"34";"5.00";"66.84";"3";"1";"1";"7";"N";"0.68";"3.82";"None";"5.17";"1.92";"2";"MOL";"-1";"31";"5";"1";"1";"423.2410";"ACID";"C26H33NO4";"CC(C)c1ccc(CC(=O)N2CCC[C@@H](c3cccc(OC(C)(C)C(=O)O)c3)C2)cc1";"OISHBINQIFNIPV-JOCHJYFZSA-N"
"CHEMBL4553748";"";"";"";"0";"404.93";"2";"3";"4.75";"60.44";"4";"0";"0";"2";"N";"0.62";"None";"None";"3.72";"3.72";"0";"MOL";"-1";"28";"4";"0";"0";"404.1754";"NEUTRAL";"C23H29ClO4";"CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C";"QMBJSIBWORFWQT-IZHXYTRHSA-N"
"CHEMBL4526077";"";"";"";"0";"253.31";"2";"3";"2.22";"58.34";"4";"1";"0";"1";"N";"0.72";"None";"6.16";"2.71";"2.69";"3";"MOL";"-1";"19";"5";"1";"0";"253.1327";"NEUTRAL";"C14H15N5";"Cc1c/c(=N/c2ccc(C)c(C)c2)n2ncnc2[nH]1";"HBIPXRAXJYUKRA-AQTBWJFISA-N"
"CHEMBL4303369";"";"";"Small molecule";"0";"324.38";"2";"4";"5.54";"37.91";"2";"1";"1";"2";"N";"0.46";"13.22";"4.84";"4.74";"4.74";"5";"MOL";"-1";"25";"3";"1";"1";"324.1263";"NEUTRAL";"C22H16N2O";"COc1ccc2[nH]c3c(-c4cccc5ccccc45)nccc3c2c1";"AABFWJDLCCDJJN-UHFFFAOYSA-N"
"CHEMBL4303401";"";"";"Small molecule";"0";"127.12";"2";"7";"0.71";"33.12";"2";"1";"0";"1";"Y";"0.60";"None";"2.30";"0.13";"0.13";"1";"MOL";"-1";"9";"2";"1";"0";"127.0433";"NEUTRAL";"C6H6FNO";"OCc1cncc(F)c1";"GGGJYJXAFSEWNM-UHFFFAOYSA-N"
"CHEMBL1387";"NORETHYNODREL";"ENIDREL|NORETHYNODREL|NORETYNODREL|NSC-15432|SC-4642";"Small molecule";"4";"298.43";"18";"46";"3.64";"37.30";"2";"1";"0";"0";"N";"0.55";"None";"None";"2.81";"2.81";"0";"MOL";"0";"22";"2";"1";"0";"298.1933";"NEUTRAL";"C20H26O2";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C";"ICTXHFFSOAJUMG-SLHNCBLASA-N"
"CHEMBL472";"GLYBURIDE";"CALABREN|CIRARA|DAONIL|DIABETAMIDE 2.5|DIABETAMIDE 5|Diabeta|EUGLUCON|GLIBENCLAMIDE|GLIBENCLAMIDUM|GLIKEN|GLYBENCLAMIDE|GLYBURIDE|GLYBURIDE (MICRONIZED)|Glynase|Glynase PresTab|HB 419|HB-419|LEDERGLIB|LIBANIL|MALIX|Micronase|NSC-759618|SEMI-DAONIL|U-26,45|U-26,452|U-26452";"Small molecule";"4";"494.01";"209";"2593";"3.64";"113.60";"5";"3";"0";"8";"N";"0.52";"4.32";"None";"3.79";"2.85";"2";"MOL";"0";"33";"8";"3";"0";"493.1438";"ACID";"C23H28ClN3O5S";"COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1";"ZNNLBTZKUZBEKO-UHFFFAOYSA-N"
"CHEMBL699";"ETOFYLLINE";"BETA-HYDROXYETHYL THEOPHYLLINE|DOXOPHYLLINE METABOLITE M4|ETOFYLLINE|Etofylline|FREKAPHYLLIN|KT-200G|NSC-113373|OXYETHYLTHEOPHYLLINE|OXYPHYLLIN|OXYPHYLLINE|PHYLLOCORMIN N|SOLUPHYLLINE|THEOPHYLLINE ISOPROPANOLAMINE|THEOPHYLLINE RELATED COMPOUND F|THEOPROPANOL";"Small molecule";"0";"224.22";"23";"39";"-1.57";"82.05";"7";"1";"0";"2";"N";"0.67";"None";"None";"-1.24";"-1.24";"2";"MOL";"0";"16";"7";"1";"0";"224.0909";"NEUTRAL";"C9H12N4O3";"Cn1c(=O)c2c(ncn2CCO)n(C)c1=O";"NWPRCRWQMGIBOT-UHFFFAOYSA-N"
"CHEMBL9352";"NARINGENIN";"NSC-11855";"Small molecule";"0";"272.26";"168";"423";"2.51";"86.99";"5";"3";"0";"1";"N";"0.74";"7.86";"None";"2.84";"2.70";"2";"MOL";"-1";"20";"5";"3";"0";"272.0685";"NEUTRAL";"C15H12O5";"O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21";"FTVWIRXFELQLPI-ZDUSSCGKSA-N"
"CHEMBL21";"SULFANILAMIDE";"ANILINE-P-SULFONIC AMIDE|NSC-7618|P-AMINOBENZENESULFAMIDE|P-AMINOBENZENESULFONAMIDE|PRONTOSIL I|PRONTYLIN|STREPTOCID|SULFAMINE|SULFANILAMIDE|SULFONAMIDE|SULPHANILAMIDUM|Sulfanilamide";"Small molecule";"4";"172.21";"184";"1290";"-0.08";"86.18";"3";"2";"0";"1";"N";"0.58";"10.99";"2.27";"-0.25";"-0.25";"1";"MOL";"0";"11";"4";"4";"0";"172.0306";"NEUTRAL";"C6H8N2O2S";"Nc1ccc(S(N)(=O)=O)cc1";"FDDDEECHVMSUSB-UHFFFAOYSA-N"
"CHEMBL4303633";"";"";"Small molecule";"0";"520.63";"2";"7";"4.68";"119.05";"5";"3";"1";"6";"N";"0.51";"3.96";"2.95";"4.74";"1.88";"2";"MOL";"-1";"38";"9";"3";"1";"520.2686";"ACID";"C29H36N4O5";"CC(C)(C)C(=O)CN1C(=O)[C@H](NC(=O)Nc2cccc(C(=O)O)c2)CN(C2CCCCC2)c2ccccc21";"VIJCCFFEBCOOIE-JOCHJYFZSA-N"
